time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T21:24:48.135Z,-33.3452,117.0973,7.41,4.9,mb,,47,0.433,0.81,us,us7000gep9,2022-04-09T20:18:59.040Z,"23 km W of Wagin, Australia",earthquake,3.8,3.2,0.075,56,reviewed,us,us
2022-01-22T07:40:47.556Z,-33.3851,117.0067,10,4.2,mb,,157,0.496,1.18,us,us7000gfxe,2022-04-09T20:18:48.040Z,"32 km WSW of Wagin, Australia",earthquake,5.9,1.9,0.199,7,reviewed,us,us
2022-01-20T01:39:22.745Z,-11.8103,121.4839,10,4.5,mb,,69,3.24,0.99,us,us7000gfv3,2022-04-01T17:40:36.040Z,"273 km SSE of Waingapu, Indonesia",earthquake,8,1.9,0.128,18,reviewed,us,us
2022-01-14T08:23:26.370Z,-10.4171,110.4795,10,4.3,mb,,104,2.489,0.66,us,us7000gdxu,2022-03-19T22:08:01.040Z,"273 km S of Pundong, Indonesia",earthquake,5.8,1.9,0.217,6,reviewed,us,us
2022-01-05T11:37:04.949Z,-32.9749,117.624,10,4.2,mb,,184,0.327,0.77,us,us7000g979,2022-03-12T22:19:09.040Z,"41 km E of Narrogin, Australia",earthquake,4.8,2,0.166,10,reviewed,us,us
2021-12-29T02:57:52.197Z,-22.792,125.4175,10,4.2,mb,,115,4.674,0.68,us,us7000gak1,2022-03-05T23:11:07.040Z,"283 km SE of Telfer, Australia",earthquake,5.6,1.9,0.176,9,reviewed,us,us
2021-12-22T12:04:32.391Z,-11.4221,111.8584,10,4.5,mb,,99,3.702,0.71,us,us7000g98g,2022-03-01T16:39:22.040Z,"south of Java, Indonesia",earthquake,5.7,1.9,0.131,17,reviewed,us,us
2021-12-16T05:25:33.449Z,-11.1873,123.1998,10,4.1,mb,,83,1.768,0.88,us,us6000gcp6,2022-02-24T21:01:35.040Z,"south of Timor",earthquake,4,1.9,0.185,9,reviewed,us,us
2021-12-12T19:42:22.017Z,-10.6714,120.4521,35,4.5,mb,,61,2.681,1.07,us,us6000gcsy,2022-02-24T21:01:52.040Z,"114 km S of Waingapu, Indonesia",earthquake,4.6,2,0.128,19,reviewed,us,us
2021-12-12T19:34:25.570Z,-10.5158,120.3091,10,4.9,mb,,70,2.666,0.94,us,us6000gbq2,2022-02-24T21:00:21.040Z,"",earthquake,4.2,1.8,0.07,67,reviewed,us,us
2021-12-12T18:46:35.673Z,-10.6311,120.3859,35,4.6,mb,,38,2.695,1.21,us,us6000gcsw,2022-02-24T21:01:52.040Z,"108 km S of Waingapu, Indonesia",earthquake,3.2,2,0.111,24,reviewed,us,us
2021-12-12T18:22:25.177Z,-10.5685,120.361,49.85,4.5,mb,,69,2.667,1.05,us,us6000gct2,2022-02-24T21:01:53.040Z,"101 km S of Waingapu, Indonesia",earthquake,7.1,6.7,0.087,39,reviewed,us,us
2021-12-09T18:43:37.176Z,-21.4791,120.0874,10,4.3,mb,,109,0.46,0.51,us,us6000gc88,2022-02-12T23:07:48.040Z,"45 km N of Nullagine, Australia",earthquake,3.7,2,0.237,5,reviewed,us,us
2021-11-30T12:16:32.543Z,-11.271,118.2114,10,4.2,mb,,91,4.752,0.32,us,us6000g7w3,2022-02-05T23:03:31.040Z,"287 km SW of Waingapu, Indonesia",earthquake,3.7,2,0.236,5,reviewed,us,us
2021-11-20T02:12:57.935Z,-19.9053,133.9169,10,4.3,mb,,113,0.417,1.05,us,us7000fvmq,2022-01-29T22:55:04.040Z,"40 km SW of Tennant Creek, Australia",earthquake,5.7,2,0.265,5,reviewed,us,us
2021-11-18T18:50:27.623Z,-10.9476,123.6777,10,4.6,mb,,107,0.736,1.06,us,us7000fv8q,2022-01-22T20:52:07.040Z,"86 km S of Kupang, Indonesia",earthquake,5.6,1.3,0.244,5,reviewed,us,us
2021-11-13T13:05:54.157Z,-20.9319,119.8141,10,5.3,mww,,36,0.638,1.2,us,us7000fttj,2022-01-22T20:51:48.040Z,"27 km NNE of Marble Bar, Australia",earthquake,6.1,1.8,0.073,18,reviewed,us,us
2021-11-09T12:24:36.685Z,-19.8032,133.9289,10,4.1,mb,,83,0.399,0.34,us,us7000ftlg,2022-01-15T20:51:52.040Z,"32 km WSW of Tennant Creek, Australia",earthquake,4.6,1.9,0.174,9,reviewed,us,us
2021-10-21T03:21:09.851Z,-28.8614,112.7396,10,4.4,mb,,129,2.899,0.61,us,us7000fp7y,2021-12-25T22:59:03.040Z,"181 km W of Beachlands, Australia",earthquake,10.7,2,0.202,7,reviewed,us,us
2021-10-08T16:47:26.773Z,-35.4066,141.0722,10,4.8,mb,,62,2.349,0.65,us,us6000ft1w,2021-12-18T19:58:39.040Z,"100 km NE of Keith, Australia",earthquake,2.6,1.8,0.08,48,reviewed,us,us
2021-09-25T01:43:30.093Z,-18.3002,120.5658,10,4.4,mb,,92,2.95,0.98,us,us7000fe9r,2021-12-04T14:29:26.040Z,"Western Australia",earthquake,4.8,1.9,0.239,5,reviewed,us,us
2021-09-21T23:33:38.875Z,-37.4349,146.2528,10,4.1,mb,,63,0.621,0.84,us,us7000fdb0,2021-12-07T15:15:12.953Z,"35 km SSW of Mount Buller, Australia",earthquake,4.4,1.9,0.261,4,reviewed,us,us
2021-09-21T23:15:53.602Z,-37.492,146.3534,12,5.9,mww,,31,0.69,0.84,us,us7000fd9v,2022-08-22T03:11:03.551Z,"39 km S of Mount Buller, Australia",earthquake,4.9,1.7,0.056,31,reviewed,us,us
2021-09-12T23:32:36.569Z,-11.2032,112.3688,10,4.5,mb,,119,3.234,0.4,us,us7000fc40,2021-11-23T15:10:55.040Z,"south of Java, Indonesia",earthquake,7.4,1.9,0.171,10,reviewed,us,us
2021-09-10T19:24:36.376Z,-10.24,116.1221,44.23,4.4,mb,,99,2.621,0.67,us,us7000fa43,2021-11-23T15:09:19.040Z,"167 km S of Lembar, Indonesia",earthquake,5.8,8,0.117,22,reviewed,us,us
2021-09-09T03:25:27.407Z,-10.5922,113.0958,10,4.3,mb,,141,2.351,0.68,us,us7000fbhr,2021-11-17T17:30:06.040Z,"257 km S of Kencong, Indonesia",earthquake,5.9,1.9,0.308,3,reviewed,us,us
2021-08-31T20:12:36.550Z,-11.1675,111.165,10,4.3,mb,,97,3.981,0.76,us,us7000f9du,2021-11-06T20:28:36.040Z,"south of Java, Indonesia",earthquake,8.7,1.9,0.178,12,reviewed,us,us
2021-08-27T16:01:25.286Z,-11.2976,118.5605,10,4.8,mb,,89,4.485,1.22,us,us7000f4wa,2021-11-06T20:29:00.040Z,"260 km SW of Waingapu, Indonesia",earthquake,3.7,1.9,0.083,45,reviewed,us,us
2021-08-25T22:17:44.962Z,-16.3902,127.7132,8.62,4.1,mb,,90,1.233,0.69,us,us7000f7h2,2021-11-02T14:56:35.040Z,"129 km WSW of Kununurra, Australia",earthquake,6.4,1.8,0.235,5,reviewed,us,us
2021-08-25T04:29:48.103Z,-10.5589,113.6156,10,4.7,mb,,71,2.141,0.97,us,us7000f7ge,2021-11-02T14:56:30.040Z,"246 km SSW of Gambiran Satu, Indonesia",earthquake,6,1.9,0.147,14,reviewed,us,us
2021-08-23T08:40:19.568Z,-11.2089,119.0291,10,4.9,mb,,46,4.065,0.37,us,us6000f9zf,2021-11-02T14:54:39.040Z,"218 km SW of Waingapu, Indonesia",earthquake,5.3,1.9,0.075,56,reviewed,us,us
2021-08-21T23:58:33.110Z,-11.3999,115.277,10,4.2,mb,,112,3.115,0.91,us,us7000f6pd,2021-11-02T14:55:55.040Z,"287 km S of Nusa Dua, Indonesia",earthquake,9.5,1.3,0.304,3,reviewed,us,us
